dt,Country,Region,Deaths,CumulativeDeaths,Confirm,CumulativeConfirm
2020-04-20,DZ,AFRO,8,375,95,2629
2020-04-21,DZ,AFRO,9,384,89,2718
2020-04-22,DZ,AFRO,8,392,93,2811
2020-04-23,DZ,AFRO,10,402,99,2910
2020-04-24,DZ,AFRO,5,407,97,3007
2020-04-25,DZ,AFRO,8,415,120,3127
2020-04-26,DZ,AFRO,4,419,129,3256
2020-04-27,DZ,AFRO,6,425,126,3382
2020-04-28,DZ,AFRO,7,432,135,3517
2020-04-29,DZ,AFRO,5,437,132,3649
2020-04-30,DZ,AFRO,7,444,199,3848
2020-05-01,DZ,AFRO,6,450,158,4006
2020-05-02,DZ,AFRO,3,453,148,4154
2020-05-03,DZ,AFRO,6,459,141,4295
2020-05-04,DZ,AFRO,4,463,179,4474
2020-05-05,DZ,AFRO,2,465,174,4648
2020-05-06,DZ,AFRO,5,470,190,4838
2020-05-07,DZ,AFRO,6,476,159,4997
2020-05-08,DZ,AFRO,7,483,185,5182
2020-05-09,DZ,AFRO,5,488,187,5369
2020-05-10,DZ,AFRO,6,494,189,5558
2020-05-11,DZ,AFRO,8,502,165,5723
2020-05-12,DZ,AFRO,5,507,168,5891
2020-05-13,DZ,AFRO,8,515,176,6067
2020-05-14,DZ,AFRO,7,522,186,6253
2020-05-15,DZ,AFRO,7,529,189,6442
2020-05-16,DZ,AFRO,7,536,188,6630
2020-05-17,DZ,AFRO,6,542,191,6821
2020-05-18,DZ,AFRO,6,548,198,7019
2020-05-19,DZ,AFRO,7,555,182,7201
2020-05-20,DZ,AFRO,6,561,176,7377
2020-05-21,DZ,AFRO,7,568,165,7542
2020-05-22,DZ,AFRO,7,575,186,7728
2020-05-23,DZ,AFRO,7,582,190,7918
2020-05-24,DZ,AFRO,10,592,195,8113
2020-05-25,DZ,AFRO,8,600,193,8306
2020-05-26,DZ,AFRO,9,609,197,8503
2020-05-27,DZ,AFRO,8,617,194,8697
2020-05-28,DZ,AFRO,6,623,160,8857
2020-05-29,DZ,AFRO,7,630,140,8997
2020-05-30,DZ,AFRO,8,638,137,9134
2020-05-31,DZ,AFRO,8,646,133,9267
2020-06-01,DZ,AFRO,7,653,127,9394
2020-06-02,DZ,AFRO,8,661,119,9513
2020-06-03,DZ,AFRO,6,667,113,9626
2020-06-04,DZ,AFRO,6,673,107,9733
2020-06-05,DZ,AFRO,8,681,98,9831
2020-06-06,DZ,AFRO,9,690,104,9935
2020-06-07,DZ,AFRO,8,698,115,10050
2020-06-08,DZ,AFRO,9,707,104,10154
2020-06-09,DZ,AFRO,8,715,111,10265
2020-06-10,DZ,AFRO,9,724,117,10382
2020-06-11,DZ,AFRO,8,732,102,10484
2020-06-12,DZ,AFRO,9,741,105,10589
2020-06-13,DZ,AFRO,10,751,109,10698
2020-06-14,DZ,AFRO,9,760,112,10810
2020-06-15,DZ,AFRO,7,767,109,10919
2020-06-16,DZ,AFRO,10,777,112,11031
2020-06-17,DZ,AFRO,11,788,116,11147
2020-06-18,DZ,AFRO,11,799,121,11268
2020-06-19,DZ,AFRO,12,811,117,11385
2020-06-20,DZ,AFRO,14,825,119,11504
2020-06-21,DZ,AFRO,12,837,127,11631
2020-06-22,DZ,AFRO,8,845,140,11771
2020-06-23,DZ,AFRO,7,852,149,11920
2020-06-24,DZ,AFRO,9,861,156,12076
2020-06-25,DZ,AFRO,8,869,172,12248
2020-06-26,DZ,AFRO,9,878,197,12445
2020-06-27,DZ,AFRO,7,885,240,12685
2020-06-28,DZ,AFRO,7,892,283,12968
2020-06-29,DZ,AFRO,5,897,305,13273
2020-06-30,DZ,AFRO,8,905,298,13571
2020-07-01,DZ,AFRO,7,912,336,13907
2020-07-02,DZ,AFRO,8,920,365,14272
2020-07-03,DZ,AFRO,8,928,385,14657
2020-07-04,DZ,AFRO,9,937,413,15070
2020-07-05,DZ,AFRO,9,946,430,15500
2020-07-06,DZ,AFRO,6,952,441,15941
2020-07-07,DZ,AFRO,7,959,463,16404
2020-07-08,DZ,AFRO,9,968,475,16879
2020-07-09,DZ,AFRO,10,978,469,17348
2020-07-10,DZ,AFRO,10,988,460,17808
2020-07-11,DZ,AFRO,8,996,434,18242
2020-07-12,DZ,AFRO,8,1004,470,18712
2020-07-13,DZ,AFRO,7,1011,483,19195
2020-07-14,DZ,AFRO,7,1018,494,19689
2020-07-15,DZ,AFRO,10,1028,527,20216
2020-07-16,DZ,AFRO,12,1040,554,20770
2020-07-17,DZ,AFRO,12,1052,585,21355
2020-07-18,DZ,AFRO,5,1057,593,21948
2020-07-19,DZ,AFRO,11,1068,601,22549
2020-07-20,DZ,AFRO,10,1078,535,23084
2020-07-21,DZ,AFRO,9,1087,607,23691
2020-07-22,DZ,AFRO,13,1100,587,24278
2020-07-23,DZ,AFRO,11,1111,594,24872
2020-07-24,DZ,AFRO,13,1124,612,25484
2020-07-25,DZ,AFRO,12,1136,675,26159
2020-07-26,DZ,AFRO,0,1136,0,26159
2020-03-02,AD,EURO,0,0,1,1
2020-03-03,AD,EURO,0,0,0,1
2020-03-04,AD,EURO,0,0,0,1
2020-03-05,AD,EURO,0,0,0,1
2020-03-06,AD,EURO,0,0,0,1
2020-03-07,AD,EURO,0,0,0,1
2020-03-08,AD,EURO,0,0,0,1
2020-03-09,AD,EURO,0,0,0,1
2020-03-10,AD,EURO,0,0,0,1
2020-03-11,AD,EURO,0,0,0,1
2020-03-12,AD,EURO,0,0,0,1
2020-03-13,AD,EURO,0,0,1,2
2020-03-14,AD,EURO,0,0,0,2
2020-03-15,AD,EURO,0,0,0,2
2020-03-16,AD,EURO,0,0,12,14
2020-03-17,AD,EURO,0,0,2,16
2020-03-18,AD,EURO,0,0,23,39
2020-03-19,AD,EURO,0,0,36,75
2020-03-20,AD,EURO,0,0,0,75
2020-03-21,AD,EURO,0,0,13,88
2020-03-22,AD,EURO,0,0,0,88
2020-03-23,AD,EURO,0,0,25,113
2020-03-24,AD,EURO,1,1,51,164
2020-03-25,AD,EURO,0,1,24,188
2020-03-26,AD,EURO,2,3,25,213
2020-03-27,AD,EURO,0,3,18,231
2020-03-28,AD,EURO,0,3,58,289
2020-03-29,AD,EURO,1,4,32,321
2020-03-30,AD,EURO,2,6,20,341
2020-03-31,AD,EURO,2,8,29,370
2020-04-01,AD,EURO,4,12,6,376
2020-04-02,AD,EURO,1,13,20,396
2020-04-03,AD,EURO,2,15,33,429
2020-04-04,AD,EURO,1,16,13,442
2020-04-05,AD,EURO,1,17,24,466
2020-04-06,AD,EURO,0,17,57,523
2020-04-07,AD,EURO,4,21,17,540
2020-04-08,AD,EURO,1,22,11,551
2020-04-09,AD,EURO,2,24,15,566
2020-04-10,AD,EURO,2,26,23,589
2020-04-11,AD,EURO,0,26,13,602
2020-04-12,AD,EURO,2,28,20,622
2020-04-13,AD,EURO,1,29,17,639
2020-04-14,AD,EURO,0,29,12,651
2020-04-15,AD,EURO,2,31,8,659
2020-04-16,AD,EURO,2,33,14,673
2020-04-17,AD,EURO,1,34,21,694
2020-04-18,AD,EURO,1,35,9,703
2020-04-19,AD,EURO,0,35,1,704
2020-04-20,AD,EURO,1,36,13,717
2020-04-21,AD,EURO,0,36,1,718
2020-04-22,AD,EURO,1,37,5,723
2020-04-23,AD,EURO,0,37,1,724
2020-04-24,AD,EURO,1,38,2,726
2020-04-25,AD,EURO,2,40,7,733
2020-04-26,AD,EURO,0,40,5,738
2020-04-27,AD,EURO,0,40,2,740
2020-04-28,AD,EURO,0,40,1,741
2020-04-29,AD,EURO,1,41,1,742
2020-04-30,AD,EURO,0,41,2,744
2020-05-01,AD,EURO,1,42,2,746
2020-05-02,AD,EURO,1,43,0,746
2020-05-03,AD,EURO,1,44,1,747
2020-05-04,AD,EURO,1,45,2,749
2020-05-05,AD,EURO,0,45,2,751
2020-05-06,AD,EURO,1,46,0,751
2020-05-07,AD,EURO,1,47,1,752
2020-05-08,AD,EURO,0,47,0,752
2020-05-09,AD,EURO,0,47,2,754
2020-05-10,AD,EURO,1,48,0,754
2020-05-11,AD,EURO,0,48,2,756
2020-05-12,AD,EURO,0,48,0,756
2020-05-13,AD,EURO,0,48,3,759
2020-05-14,AD,EURO,1,49,2,761
2020-05-15,AD,EURO,0,49,0,761
2020-05-16,AD,EURO,0,49,0,761
2020-05-17,AD,EURO,2,51,0,761
2020-05-18,AD,EURO,0,51,0,761
2020-05-19,AD,EURO,0,51,0,761
2020-05-20,AD,EURO,0,51,0,761
2020-05-21,AD,EURO,0,51,1,762
2020-05-22,AD,EURO,0,51,0,762
2020-05-23,AD,EURO,0,51,0,762
2020-05-24,AD,EURO,0,51,1,763
2020-05-25,AD,EURO,0,51,0,763
2020-05-26,AD,EURO,0,51,0,763
2020-05-27,AD,EURO,0,51,0,763
2020-05-28,AD,EURO,0,51,0,763
2020-05-29,AD,EURO,0,51,1,764
2020-05-30,AD,EURO,0,51,0,764
2020-05-31,AD,EURO,0,51,0,764
2020-06-01,AD,EURO,0,51,0,764
2020-06-02,AD,EURO,0,51,1,765
2020-06-03,AD,EURO,0,51,79,844
2020-06-04,AD,EURO,0,51,7,851
2020-06-05,AD,EURO,0,51,1,852
2020-06-06,AD,EURO,0,51,0,852
2020-06-07,AD,EURO,0,51,0,852
2020-06-08,AD,EURO,0,51,0,852
2020-06-09,AD,EURO,0,51,0,852
2020-06-10,AD,EURO,0,51,0,852
2020-06-11,AD,EURO,0,51,0,852
2020-06-12,AD,EURO,0,51,0,852
2020-06-13,AD,EURO,0,51,1,853
2020-06-14,AD,EURO,0,51,0,853
2020-06-15,AD,EURO,0,51,0,853
2020-06-16,AD,EURO,0,51,0,853
2020-06-17,AD,EURO,1,52,1,854
2020-06-18,AD,EURO,0,52,0,854
2020-06-19,AD,EURO,0,52,1,855
2020-06-20,AD,EURO,0,52,0,855
2020-06-21,AD,EURO,0,52,0,855
2020-06-22,AD,EURO,0,52,0,855
2020-06-23,AD,EURO,0,52,0,855
2020-06-24,AD,EURO,0,52,0,855
2020-06-25,AD,EURO,0,52,0,855
